class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,23,18,13,19,15,5,2,13,10,4,18,18,22,22,22,14,15,10,18,20
1,23,18,24,19,0,5,2,1,10,4,18,18,22,22,22,14,15,13,13,6
1,1,18,22,19,11,5,2,1,13,4,18,18,22,22,22,14,15,13,13,12
0,23,24,22,19,15,5,2,13,13,4,18,18,22,22,22,14,15,10,18,20
1,23,18,6,5,13,5,22,1,10,19,18,18,22,22,22,14,4,13,0,6
1,23,24,24,19,0,5,2,1,13,4,18,18,22,22,22,14,15,10,13,6
1,1,18,22,19,0,5,2,1,6,4,18,18,22,22,22,14,15,10,13,12
1,1,24,22,19,11,5,2,1,13,4,18,18,22,22,22,14,15,13,18,12
0,23,24,22,19,15,5,2,13,15,4,18,18,22,22,22,14,15,10,21,6
1,1,18,24,19,0,5,2,1,6,4,18,18,22,22,22,14,15,10,18,12
1,23,24,24,19,11,5,2,1,6,4,18,18,22,22,22,14,15,13,13,6
1,23,24,24,19,0,5,2,1,13,4,18,18,22,22,22,14,15,10,18,12
1,1,18,24,19,0,5,2,1,22,4,18,18,22,22,22,14,15,13,18,6
0,23,24,22,19,15,5,2,13,10,4,18,18,22,22,22,14,15,13,21,20
1,23,5,13,5,13,5,22,1,13,19,18,5,22,22,22,14,4,10,0,6
1,18,5,6,5,13,5,2,13,10,4,18,18,22,22,22,14,15,13,24,20
1,5,5,22,5,13,5,22,1,10,19,18,18,22,22,22,14,4,13,0,6
0,23,18,13,19,15,5,2,13,13,4,18,18,22,22,22,14,15,10,18,6
0,23,24,22,19,15,5,2,13,13,4,18,18,22,22,22,14,15,13,18,20
0,23,18,13,19,15,5,2,13,10,4,18,18,22,22,22,14,15,13,18,20
1,1,18,24,19,0,5,2,1,10,4,18,18,22,22,22,14,15,13,18,12
0,23,24,13,19,15,5,2,13,13,4,18,18,22,22,22,14,15,13,21,6
1,1,24,24,19,11,5,2,1,10,4,18,18,22,22,22,14,15,13,18,12
1,1,24,22,19,0,5,2,1,22,4,18,18,22,22,22,14,15,13,13,12
1,1,18,22,19,11,5,2,1,6,4,18,18,22,22,22,14,15,10,18,12
0,5,18,22,19,15,5,2,13,13,4,18,18,22,22,22,14,15,13,21,6
1,23,24,24,19,0,5,2,1,13,4,18,18,22,22,22,14,15,13,13,12
1,23,24,22,19,11,5,2,1,22,4,18,18,22,22,22,14,15,13,13,12
1,5,5,13,5,13,5,2,13,10,4,18,18,22,22,22,14,15,10,24,20
1,23,18,24,19,0,5,22,13,13,19,18,18,22,22,22,14,15,13,21,3
1,1,18,24,19,11,5,2,1,6,4,18,18,22,22,22,14,15,13,13,12
0,23,24,22,19,15,5,2,13,10,4,18,18,22,22,22,14,15,13,18,20
1,23,24,24,19,11,5,2,1,13,4,18,18,22,22,22,14,15,13,13,12
1,23,24,13,19,11,5,2,1,15,4,18,24,22,22,22,14,15,13,24,15
1,1,24,24,19,11,5,2,1,13,4,18,18,22,22,22,14,15,13,18,12
1,23,5,24,19,11,5,22,13,22,19,18,18,22,22,22,14,15,13,21,3
1,18,5,6,5,13,5,2,13,10,4,18,18,22,22,22,14,15,10,21,20
0,23,24,13,19,15,5,2,13,22,4,18,18,22,22,22,14,15,13,18,20
1,23,5,24,19,0,5,22,13,15,19,18,18,22,22,22,14,15,13,21,3
1,1,18,24,19,11,5,2,1,10,4,18,18,22,22,22,14,15,10,18,12
1,1,24,24,19,0,5,2,1,13,4,18,18,22,22,22,14,15,13,18,6
1,23,24,24,19,11,5,2,1,13,4,18,24,22,22,22,14,15,10,24,15
1,23,5,13,5,13,5,2,13,6,4,18,18,22,22,22,14,15,10,24,20
0,23,24,22,19,15,5,2,13,15,4,18,18,22,22,22,14,15,13,21,6
1,23,18,24,19,0,5,2,1,22,4,18,18,22,22,22,14,15,10,13,12
1,23,24,22,19,0,5,2,1,13,4,18,18,22,22,22,14,15,13,13,6
1,23,24,24,19,11,5,2,1,10,4,18,18,22,22,22,14,15,10,18,12
1,23,18,22,19,11,5,2,1,22,4,18,18,22,22,22,14,15,13,13,12
1,23,24,24,19,11,5,2,1,13,4,18,24,22,22,22,14,15,13,18,15
1,5,24,24,19,11,5,2,1,22,4,18,24,22,22,22,14,15,10,18,15
1,23,24,13,19,0,5,2,1,22,4,18,24,22,22,22,14,15,10,18,6
1,23,18,22,19,11,5,2,1,10,4,18,18,22,22,22,14,15,10,18,6
1,1,18,22,19,11,5,2,1,10,4,18,18,22,22,22,14,15,13,13,12
0,23,24,13,19,15,5,2,13,10,4,18,18,22,22,22,14,15,13,21,20
0,23,18,22,19,15,5,2,13,10,4,18,18,22,22,22,14,15,10,21,20
1,1,24,24,19,0,5,2,1,22,4,18,18,22,22,22,14,15,10,18,12
1,5,5,6,5,13,5,22,1,13,19,18,18,22,22,22,14,4,13,0,6
1,1,18,22,19,0,5,2,1,22,4,18,18,22,22,22,14,15,13,13,6
1,23,18,24,19,11,5,2,1,10,4,18,18,22,22,22,14,15,10,13,6
1,23,24,13,19,0,5,2,1,15,4,18,24,22,22,22,14,15,10,24,15
1,18,5,6,5,13,5,2,13,10,4,18,18,22,22,22,14,15,13,21,20
1,1,24,24,19,0,5,2,1,10,4,18,18,22,22,22,14,15,13,18,12
1,1,18,24,19,11,5,2,1,6,4,18,18,22,22,22,14,15,13,18,12
1,1,24,24,19,11,5,2,1,6,4,18,18,22,22,22,14,15,13,13,12
1,1,24,22,19,11,5,2,1,13,4,18,18,22,22,22,14,15,13,18,6
1,5,18,13,5,13,5,22,1,10,19,18,18,22,22,22,14,4,10,0,6
1,23,18,22,19,11,5,2,1,13,4,18,18,22,22,22,14,15,10,18,6
1,5,24,24,19,0,5,2,1,22,4,18,24,22,22,22,14,15,13,18,6
1,23,24,24,19,0,5,2,1,22,4,18,18,22,22,22,14,15,10,13,6
1,23,5,6,5,13,5,2,13,15,4,18,18,22,22,22,14,15,13,21,20
1,5,5,24,19,11,5,22,13,15,19,18,18,22,22,22,14,15,13,21,3
1,1,24,22,19,11,5,2,1,6,4,18,18,22,22,22,14,15,13,18,12
1,5,5,24,19,11,5,22,13,22,19,18,18,22,22,22,14,15,13,21,3
1,23,24,13,19,0,5,2,1,15,4,18,24,22,22,22,14,15,10,18,15
1,1,18,24,19,0,5,2,1,10,4,18,18,22,22,22,14,15,10,18,6
1,5,18,24,19,11,5,22,13,15,19,18,18,22,22,22,14,15,13,21,3
1,23,18,22,19,11,5,22,13,13,19,18,18,22,22,22,14,15,20,21,3
1,5,24,13,19,11,5,2,1,15,4,18,24,22,22,22,14,15,13,24,15
0,23,24,13,19,15,5,2,13,22,4,18,18,22,22,22,14,15,13,21,20
1,5,24,13,19,0,5,2,1,13,4,18,24,22,22,22,14,15,13,24,6
1,23,18,13,5,13,5,22,1,10,19,5,18,22,22,22,14,4,13,18,6
0,23,24,22,19,15,5,2,13,22,4,18,18,22,22,22,14,15,10,18,6
1,5,5,6,5,13,5,2,13,13,4,18,18,22,22,22,14,15,13,24,20
1,23,5,6,5,13,5,22,1,13,19,18,18,22,22,22,14,4,13,18,6
1,23,24,24,19,11,5,2,1,22,4,18,24,22,22,22,14,15,10,18,6
1,23,18,13,5,13,5,22,1,10,19,18,18,22,22,22,14,4,10,18,6
1,1,18,22,19,0,5,2,1,22,4,18,18,22,22,22,14,15,10,18,6
1,23,18,22,19,11,5,2,1,13,4,18,18,22,22,22,14,15,13,18,6
1,5,24,13,19,11,5,2,1,22,4,18,24,22,22,22,14,15,10,24,6
1,18,5,13,5,13,5,2,13,13,4,18,18,22,22,22,14,15,13,21,20
1,23,5,13,5,13,5,2,13,13,4,18,18,22,22,22,14,15,13,24,20
1,1,18,22,19,11,5,2,1,10,4,18,18,22,22,22,14,15,10,18,6
1,23,24,24,19,0,5,2,1,6,4,18,18,22,22,22,14,15,10,18,6
1,23,24,24,19,11,5,2,1,6,4,18,18,22,22,22,14,15,10,13,12
1,23,18,13,5,13,5,22,1,13,19,18,18,22,22,22,14,4,13,0,6
1,23,18,22,19,0,5,2,1,6,4,18,18,22,22,22,14,15,13,18,6
1,5,24,13,19,11,5,2,1,15,4,18,24,22,22,22,14,15,13,18,6
1,23,18,24,19,0,5,2,1,13,4,18,18,22,22,22,14,15,10,13,6
1,1,18,22,19,0,5,2,1,6,4,18,18,22,22,22,14,15,13,18,6
1,23,24,22,19,0,5,2,1,6,4,18,18,22,22,22,14,15,10,18,6
1,23,5,13,5,13,5,22,1,15,19,5,18,22,22,22,14,4,10,18,6
1,1,18,24,19,11,5,2,1,13,4,18,18,22,22,22,14,15,10,13,6
1,5,24,24,19,11,5,2,1,22,4,18,24,22,22,22,14,15,13,18,6
1,23,24,24,19,0,5,2,1,13,4,18,24,22,22,22,14,15,10,24,15
1,1,24,22,19,11,5,2,1,6,4,18,18,22,22,22,14,15,13,13,6
1,23,24,24,19,0,5,2,1,13,4,18,18,22,22,22,14,15,10,13,12
1,23,24,24,19,0,5,2,1,22,4,18,24,22,22,22,14,15,13,24,6
1,1,24,22,19,11,5,2,1,13,4,18,18,22,22,22,14,15,10,18,12
